"Date","BoardValue","NationalValue",
"01 Mar 2021","0.731","0.749",
"01 Feb 2021","0.835","0.766",
"01 Jan 2021","0.884","0.764",
"01 Dec 2020","0.760","0.738",
"01 Nov 2020","0.726","0.713",
"01 Oct 2020","0.693","0.700",
"01 Sep 2020","0.600","0.668",
"01 Aug 2020","0.635","0.659",
"01 Jul 2020","0.666","0.700",
"01 Jun 2020","0.877","0.778",
"01 May 2020","0.903","0.807",
"01 Apr 2020","0.899","0.812",
"01 Mar 2020","0.860","0.802",
"01 Feb 2020","0.829","0.774",
"01 Jan 2020","0.824","0.771",
"01 Dec 2019","0.841","0.789",
"01 Nov 2019","0.830","0.772",
"01 Oct 2019","0.855","0.778",
"01 Sep 2019","0.852","0.769",
"01 Aug 2019","0.847","0.779",
"01 Jul 2019","0.884","0.792",
"01 Jun 2019","0.886","0.792",
"01 May 2019","0.880","0.792",
"01 Apr 2019","0.889","0.785",
"01 Mar 2019","0.875","0.773",
"01 Feb 2019","0.854","0.779",
"01 Jan 2019","0.899","0.779",
"01 Dec 2018","0.899","0.795",
"01 Nov 2018","0.894","0.786",
"01 Oct 2018","0.902","0.790",
"01 Sep 2018","0.905","0.812",
"01 Aug 2018","0.910","0.825",
"01 Jul 2018","0.890","0.830",
"01 Jun 2018","0.910","0.828",
"01 May 2018","0.892","0.826",
"01 Apr 2018","0.847","0.809",
"01 Mar 2018","0.840","0.812",
"01 Feb 2018","0.862","0.810",
"01 Jan 2018","0.871","0.810",
"01 Dec 2017","0.865","0.825",
"01 Nov 2017","0.879","0.815",
"01 Oct 2017","0.895","0.813",
"01 Sep 2017","0.890","0.814",
"01 Aug 2017","0.914","0.824",
"01 Jul 2017","0.899","0.832",
"01 Jun 2017","0.903","0.848",
"01 May 2017","0.901","0.847",
"01 Apr 2017","0.882","0.835",
"01 Mar 2017","0.895","0.832",
"01 Feb 2017","0.904","0.830",
"01 Jan 2017","0.893","0.832",
"01 Dec 2016","0.895","0.838",
"01 Nov 2016","0.900","0.838",
"01 Oct 2016","0.910","0.842",
"01 Sep 2016","0.893","0.847",
"01 Aug 2016","0.895","0.860",
"01 Jul 2016","0.889","0.866",
"01 Jun 2016","0.902","0.870",
"01 May 2016","0.898","0.872",
"01 Apr 2016","0.895","0.861",
"01 Mar 2016","0.901","0.866",
"01 Feb 2016","0.900","0.862",
"01 Jan 2016","0.904","0.867",
"01 Dec 2015","0.907","0.871",
"01 Nov 2015","0.901","0.863",
"01 Oct 2015","0.893","0.865",
"01 Sep 2015","0.903","0.872",
"01 Aug 2015","0.898","0.879",
"01 Jul 2015","0.892","0.880",
"01 Jun 2015","0.897","0.883",
"01 May 2015","0.918","0.885",
"01 Apr 2015","0.918","0.876",
"01 Mar 2015","0.904","0.878",
"01 Feb 2015","0.899","0.873",
"01 Jan 2015","0.906","0.874",
"01 Dec 2014","0.909","0.886",
"01 Nov 2014","0.911","0.877",
"01 Oct 2014","0.912","0.891",
"01 Sep 2014","0.906","0.894",
"01 Aug 2014","0.919","0.895",
"01 Jul 2014","0.933","0.899",
"01 Jun 2014","0.937","0.904",
"01 May 2014","0.919","0.901",
"01 Apr 2014","0.922","0.893",
"01 Mar 2014","0.914","0.892",
"01 Feb 2014","0.922","0.895",
"01 Jan 2014","0.932","0.898",
