HospitalID,IndicatorID,Date,HospitalValue,BoardValue
22,4,20 Jun 2021,27,130
22,5,20 Jun 2021,8,23
22,6,31 May 2021,5674,18645
22,7,31 May 2021,0.781,0.796
22,10,31 May 2021,1245,3804
22,12,31 May 2021,92,482
22,13,31 May 2021,20,90
22,14,31 May 2021,0.267,0.304
22,15,01 Oct 2018,0.765,0.753
22,16,01 Oct 2018,-0.187,-0.259
22,25,29 Apr 2021,NA,89
22,26,29 Apr 2021,NA,44
22,27,01 Apr 2021,NA,2919
22,28,01 Apr 2021,0.083,0.074
22,29,01 Apr 2021,0.01,0.012
22,30,31 Mar 2021,NA,37
22,31,31 Mar 2021,NA,187
22,32,31 Mar 2021,NA,52
22,33,31 Mar 2021,NA,374.6
22,34,01 Mar 2021,NA,0.724
22,39,01 Dec 2020,416.581,1288.742
22,18,31 Mar 2021,NA,40
22,19,31 Mar 2021,NA,94
22,35,31 Mar 2021,NA,0.601
22,36,31 Mar 2021,NA,12299.1
22,37,31 Mar 2021,NA,526.1
22,38,31 Mar 2021,NA,6050.8
50,1,20 Jun 2021,1617,4459
50,2,20 Jun 2021,0.737,0.752
50,3,20 Jun 2021,426,1106
50,4,20 Jun 2021,73,130
50,5,20 Jun 2021,7,23
50,6,31 May 2021,6878,18645
50,7,31 May 2021,0.753,0.796
50,10,31 May 2021,1696,3804
50,12,31 May 2021,308,482
50,13,31 May 2021,48,90
50,14,31 May 2021,0.318,0.304
50,15,01 Oct 2018,0.807,0.753
50,16,01 Oct 2018,-0.306,-0.259
50,25,29 Apr 2021,NA,89
50,26,29 Apr 2021,NA,44
50,27,01 Apr 2021,NA,2919
50,28,01 Apr 2021,0.049,0.074
50,29,01 Apr 2021,0.027,0.012
50,30,31 Mar 2021,NA,37
50,31,31 Mar 2021,NA,187
50,32,31 Mar 2021,NA,52
50,33,31 Mar 2021,NA,374.6
50,34,01 Mar 2021,NA,0.724
50,39,01 Dec 2020,417.677,1288.742
50,18,31 Mar 2021,NA,40
50,19,31 Mar 2021,NA,94
50,35,31 Mar 2021,NA,0.601
50,36,31 Mar 2021,NA,12299.1
50,37,31 Mar 2021,NA,526.1
50,38,31 Mar 2021,NA,6050.8
70,1,20 Jun 2021,NA,4892
70,2,20 Jun 2021,NA,0.802
70,3,20 Jun 2021,NA,967
70,4,20 Jun 2021,NA,140
70,5,20 Jun 2021,NA,23
70,6,31 May 2021,NA,23061
70,7,31 May 2021,NA,0.824
70,10,31 May 2021,NA,4057
70,12,31 May 2021,NA,552
70,13,31 May 2021,NA,135
70,14,31 May 2021,NA,0.271
70,15,01 Oct 2018,NA,0.829
70,16,01 Oct 2018,NA,-0.097
70,25,29 Apr 2021,NA,158
70,26,29 Apr 2021,NA,87
70,27,01 Apr 2021,NA,5154
70,28,01 Apr 2021,NA,0.069
70,29,01 Apr 2021,NA,0.012
70,30,31 Mar 2021,NA,29
70,31,31 Mar 2021,NA,315
70,32,31 Mar 2021,NA,41
70,33,31 Mar 2021,NA,347
70,34,01 Mar 2021,NA,0.773
70,39,01 Dec 2020,NA,2157.258
70,18,31 Mar 2021,NA,42
70,19,31 Mar 2021,NA,96
70,35,31 Mar 2021,NA,0.624
70,36,31 Mar 2021,NA,22682.2
70,37,31 Mar 2021,NA,1009.8
70,38,31 Mar 2021,NA,10004.3
69,1,20 Jun 2021,NA,4892
69,2,20 Jun 2021,NA,0.802
69,3,20 Jun 2021,NA,967
69,4,20 Jun 2021,NA,140
69,5,20 Jun 2021,NA,23
69,6,31 May 2021,3096,23061
69,7,31 May 2021,0.728,0.824
69,10,31 May 2021,843,4057
69,12,31 May 2021,98,552
69,13,31 May 2021,14,135
69,14,31 May 2021,0.383,0.271
69,15,01 Oct 2018,0.724,0.829
69,16,01 Oct 2018,-0.103,-0.097
69,25,29 Apr 2021,NA,158
69,26,29 Apr 2021,NA,87
69,27,01 Apr 2021,NA,5154
69,28,01 Apr 2021,0.072,0.069
69,29,01 Apr 2021,0.004,0.012
69,30,31 Mar 2021,NA,29
69,31,31 Mar 2021,NA,315
69,32,31 Mar 2021,NA,41
69,33,31 Mar 2021,NA,347
69,34,01 Mar 2021,NA,0.773
69,39,01 Dec 2020,626.613,2157.258
69,18,31 Mar 2021,NA,42
69,19,31 Mar 2021,NA,96
69,35,31 Mar 2021,NA,0.624
69,36,31 Mar 2021,NA,22682.2
69,37,31 Mar 2021,NA,1009.8
69,38,31 Mar 2021,NA,10004.3
35,1,20 Jun 2021,1221,4892
35,2,20 Jun 2021,0.972,0.802
35,3,20 Jun 2021,34,967
35,4,20 Jun 2021,1,140
35,5,20 Jun 2021,1,23
35,6,31 May 2021,4529,23061
35,7,31 May 2021,0.973,0.824
35,10,31 May 2021,122,4057
35,12,31 May 2021,3,552
35,13,31 May 2021,1,135
35,14,31 May 2021,0.115,0.271
35,15,01 Oct 2018,NA,0.829
35,16,01 Oct 2018,NA,-0.097
35,25,29 Apr 2021,NA,158
35,26,29 Apr 2021,NA,87
35,27,01 Apr 2021,NA,5154
35,28,01 Apr 2021,NA,0.069
35,29,01 Apr 2021,NA,0.012
35,30,31 Mar 2021,NA,29
35,31,31 Mar 2021,NA,315
35,32,31 Mar 2021,NA,41
35,33,31 Mar 2021,NA,347
35,34,01 Mar 2021,NA,0.773
35,39,01 Dec 2020,60.355,2157.258
35,18,31 Mar 2021,NA,42
