HospitalID,IndicatorID,Date,HospitalValue,BoardValue
44,1,20 Jun 2021,1302,1302
44,2,20 Jun 2021,0.849,0.849
44,3,20 Jun 2021,197,197
44,4,20 Jun 2021,5,5
44,5,20 Jun 2021,1,1
44,6,31 May 2021,5645,7039
44,7,31 May 2021,0.841,0.872
44,10,31 May 2021,899,900
44,12,31 May 2021,68,68
44,13,31 May 2021,8,8
44,14,31 May 2021,0.321,0.258
44,15,01 Oct 2018,0.858,0.859
44,16,01 Oct 2018,-0.098,-0.099
44,25,29 Apr 2021,NA,118
44,26,29 Apr 2021,NA,47
44,27,01 Apr 2021,NA,3466
44,28,01 Apr 2021,0.059,0.055
44,29,01 Apr 2021,0.022,0.018
44,30,31 Mar 2021,NA,24
44,31,31 Mar 2021,NA,188
44,32,31 Mar 2021,NA,41
44,33,31 Mar 2021,NA,136.6
44,34,01 Mar 2021,NA,0.724
44,39,01 Dec 2020,536.613,750.355
44,18,31 Mar 2021,NA,40
44,19,31 Mar 2021,NA,102
44,35,31 Mar 2021,NA,0.807
44,36,31 Mar 2021,NA,7965.9
44,37,31 Mar 2021,NA,264.7
44,38,31 Mar 2021,NA,3876
63,1,20 Jun 2021,NA,1302
63,2,20 Jun 2021,NA,0.849
63,3,20 Jun 2021,NA,197
63,4,20 Jun 2021,NA,5
63,5,20 Jun 2021,NA,1
63,6,31 May 2021,1108,7039
63,7,31 May 2021,1,0.872
63,10,31 May 2021,0,900
63,12,31 May 2021,0,68
63,13,31 May 2021,0,8
63,14,31 May 2021,0.003,0.258
63,15,01 Oct 2018,NA,0.859
63,16,01 Oct 2018,NA,-0.099
63,25,29 Apr 2021,NA,118
63,26,29 Apr 2021,NA,47
63,27,01 Apr 2021,NA,3466
63,28,01 Apr 2021,0.051,0.055
63,29,01 Apr 2021,0.014,0.018
63,30,31 Mar 2021,NA,24
63,31,31 Mar 2021,NA,188
63,32,31 Mar 2021,NA,41
63,33,31 Mar 2021,NA,136.6
63,34,01 Mar 2021,NA,0.724
63,39,01 Dec 2020,88.613,750.355
63,18,31 Mar 2021,NA,40
63,19,31 Mar 2021,NA,102
63,35,31 Mar 2021,NA,0.807
63,36,31 Mar 2021,NA,7965.9
