"Date","HospitalValue","BoardValue","NationalValue",
"31 May 2021","498.000","498.000","129444.000",
"30 Apr 2021","417.000","417.000","115589.000",
"31 Mar 2021","411.000","411.000","103936.000",
"28 Feb 2021","315.000","315.000","80423.000",
"31 Jan 2021","323.000","323.000","85491.000",
"31 Dec 2020","384.000","384.000","93829.000",
"31 Oct 2020","454.000","454.000","107406.000",
"30 Sep 2020","506.000","506.000","116229.000",
"31 Aug 2020","520.000","520.000","122733.000",
"31 Jul 2020","467.000","467.000","112173.000",
"30 Jun 2020","399.000","399.000","101228.000",
"31 May 2020","357.000","357.000","88608.000",
"30 Apr 2020","236.000","236.000","65112.000",
"31 Mar 2020","415.000","415.000","101225.000",
"29 Feb 2020","562.000","562.000","128341.000",
"31 Jan 2020","585.000","585.000","138724.000",
"31 Dec 2019","600.000","600.000","141418.000",
"30 Nov 2019","541.000","541.000","141973.000",
"31 Oct 2019","568.000","568.000","146068.000",
"30 Sep 2019","614.000","614.000","150708.000",
"31 Aug 2019","651.000","651.000","152514.000",
"31 Jul 2019","677.000","677.000","150701.000",
"30 Jun 2019","594.000","594.000","147627.000",
"31 May 2019","589.000","589.000","150714.000",
"30 Apr 2019","566.000","566.000","145340.000",
"31 Mar 2019","552.000","552.000","144564.000",
"28 Feb 2019","500.000","500.000","130047.000",
"31 Jan 2019","520.000","520.000","138885.000",
"31 Dec 2018","535.000","535.000","138127.000",
"30 Nov 2018","520.000","520.000","135395.000",
"31 Oct 2018","493.000","493.000","138165.000",
"30 Sep 2018","572.000","572.000","140596.000",
"31 Aug 2018","622.000","622.000","144878.000",
"31 Jul 2018","591.000","591.000","145651.000",
"30 Jun 2018","648.000","648.000","146653.000",
"31 May 2018","596.000","596.000","153090.000",
"30 Apr 2018","533.000","533.000","137778.000",
"31 Mar 2018","513.000","513.000","137820.000",
"28 Feb 2018","476.000","476.000","121676.000",
"31 Jan 2018","454.000","454.000","129053.000",
"31 Dec 2017","504.000","504.000","141984.000",
"30 Nov 2017","454.000","454.000","132218.000",
"31 Oct 2017","501.000","501.000","137835.000",
"30 Sep 2017","503.000","503.000","140941.000",
"31 Aug 2017","607.000","607.000","141354.000",
"31 Jul 2017","519.000","519.000","137635.000",
"01 Jun 2017","516.000","516.000","138813.000",
"31 May 2017","563.000","563.000","150441.000",
"30 Apr 2017","521.000","521.000","136079.000",
"01 Mar 2017","477.000","477.000","138813.000",
"01 Feb 2017","428.000","428.000","118803.000",
"01 Jan 2017","431.000","431.000","128648.000",
"01 Dec 2016","452.000","452.000","130848.000",
"01 Nov 2016","433.000","433.000","129233.000",
"01 Oct 2016","431.000","431.000","136754.000",
"01 Sep 2016","514.000","514.000","141115.000",
"01 Aug 2016","512.000","512.000","142950.000",
"01 Jul 2016","547.000","547.000","135531.000",
"01 Jun 2016","519.000","519.000","139300.000",
"01 May 2016","522.000","522.000","148522.000",
"01 Apr 2016","482.000","482.000","131755.000",
"01 Mar 2016","496.000","496.000","144924.000",
"01 Feb 2016","403.000","403.000","127820.000",
"01 Jan 2016","457.000","457.000","129524.000",
"01 Dec 2015","439.000","439.000","125202.000",
"01 Nov 2015","402.000","402.000","127527.000",
"01 Oct 2015","445.000","445.000","133028.000",
"01 Sep 2015","472.000","472.000","137080.000",
"01 Aug 2015","499.000","499.000","142082.000",
"01 Jul 2015","537.000","537.000","131948.000",
"01 Jun 2015","498.000","498.000","134757.000",
"01 May 2015","483.000","483.000","138077.000",
"01 Apr 2015","409.000","409.000","134713.000",
"31 Mar 2015","391.000","391.000","137572.000",
"28 Feb 2015","353.000","353.000","121281.000",
"31 Jan 2015","406.000","406.000","129269.000",
"31 Dec 2014","419.000","419.000","129316.000",
"30 Nov 2014","392.000","392.000","131004.000",
"31 Oct 2014","401.000","401.000","133528.000",
"30 Sep 2014","439.000","439.000","142622.000",
"31 Aug 2014","502.000","502.000","142025.000",
"31 Jul 2014","489.000","489.000","144310.000",
"30 Jun 2014","464.000","464.000","144865.000",
"31 May 2014","500.000","500.000","146730.000",
"30 Apr 2014","435.000","435.000","137469.000",
"31 Mar 2014","418.000","418.000","141922.000",
"28 Feb 2014","342.000","342.000","122579.000",
"31 Jan 2014","392.000","392.000","128806.000",
