"Date","HospitalValue","BoardValue","NationalValue",
"20 Jun 2021","93.000","131.000","582.000",
"13 Jun 2021","108.000","146.000","556.000",
"06 Jun 2021","103.000","128.000","480.000",
"30 May 2021","55.000","78.000","421.000",
"23 May 2021","34.000","56.000","415.000",
"16 May 2021","72.000","91.000","443.000",
"09 May 2021","22.000","27.000","250.000",
"02 May 2021","82.000","88.000","272.000",
"25 Apr 2021","21.000","30.000","246.000",
"18 Apr 2021","65.000","73.000","218.000",
"11 Apr 2021","82.000","109.000","329.000",
"04 Apr 2021","58.000","78.000","339.000",
"28 Mar 2021","78.000","98.000","298.000",
"21 Mar 2021","70.000","82.000","351.000",
"14 Mar 2021","47.000","70.000","272.000",
"07 Mar 2021","61.000","80.000","250.000",
"28 Feb 2021","67.000","130.000","433.000",
"21 Feb 2021","89.000","92.000","467.000",
"14 Feb 2021","57.000","83.000","329.000",
"07 Feb 2021","87.000","96.000","524.000",
"31 Jan 2021","90.000","92.000","360.000",
"24 Jan 2021","103.000","116.000","380.000",
"17 Jan 2021","110.000","156.000","428.000",
"10 Jan 2021","109.000","126.000","622.000",
"03 Jan 2021","137.000","163.000","492.000",
"27 Dec 2020","49.000","61.000","251.000",
"20 Dec 2020","114.000","203.000","710.000",
"13 Dec 2020","79.000","117.000","642.000",
"06 Dec 2020","56.000","89.000","317.000",
"29 Nov 2020","46.000","65.000","232.000",
"22 Nov 2020","28.000","59.000","374.000",
"15 Nov 2020","26.000","80.000","307.000",
"08 Nov 2020","61.000","97.000","455.000",
"01 Nov 2020","78.000","85.000","455.000",
"25 Oct 2020","50.000","80.000","354.000",
"18 Oct 2020","20.000","35.000","174.000",
"11 Oct 2020","16.000","52.000","332.000",
"04 Oct 2020","32.000","49.000","155.000",
"27 Sep 2020","70.000","74.000","182.000",
"20 Sep 2020","63.000","76.000","232.000",
"13 Sep 2020","25.000","25.000","174.000",
"06 Sep 2020","10.000","24.000","127.000",
"30 Aug 2020","5.000","11.000","92.000",
"23 Aug 2020","9.000","11.000","147.000",
"16 Aug 2020","21.000","25.000","156.000",
"09 Aug 2020","10.000","12.000","98.000",
