"Date","BoardValue","NationalValue",
"28 Apr 2022","162.000","976.000",
"31 Mar 2022","164.000","913.000",
"24 Feb 2022","209.000","950.000",
"27 Jan 2022","219.000","937.000",
"30 Dec 2021","227.000","945.000",
"25 Nov 2021","220.000","890.000",
"28 Oct 2021","184.000","898.000",
"30 Sep 2021","198.000","975.000",
"26 Aug 2021","153.000","819.000",
"29 Jul 2021","146.000","746.000",
"24 Jun 2021","120.000","636.000",
"27 May 2021","101.000","567.000",
"29 Apr 2021","87.000","509.000",
"25 Mar 2021","79.000","499.000",
"25 Feb 2021","66.000","442.000",
"28 Jan 2021","75.000","463.000",
"31 Dec 2020","86.000","521.000",
"26 Nov 2020","80.000","518.000",
"29 Oct 2020","85.000","504.000",
"24 Sep 2020","125.000","577.000",
"27 Aug 2020","95.000","561.000",
"30 Jul 2020","80.000","471.000",
"25 Jun 2020","59.000","364.000",
"28 May 2020","57.000","330.000",
"30 Apr 2020","36.000","249.000",
"26 Mar 2020","111.000","619.000",
"27 Feb 2020","184.000","988.000",
"30 Jan 2020","223.000","1027.000",
"26 Dec 2019","177.000","939.000",
"28 Nov 2019","159.000","920.000",
"31 Oct 2019","157.000","966.000",
"26 Sep 2019","161.000","963.000",
"29 Aug 2019","167.000","924.000",
"27 Jun 2019","182.000","918.000",
"30 May 2019","203.000","917.000",
"25 Apr 2019","181.000","894.000",
"28 Mar 2019","169.000","818.000",
"28 Feb 2019","223.000","855.000",
"31 Jan 2019","206.000","875.000",
"27 Dec 2018","211.000","910.000",
"29 Nov 2018","229.000","888.000",
"25 Oct 2018","296.000","998.000",
"27 Sep 2018","313.000","1030.000",
"30 Aug 2018","292.000","922.000",
"26 Jul 2018","278.000","906.000",
"28 Jun 2018","281.000","914.000",
"31 May 2018","289.000","886.000",
"26 Apr 2018","275.000","843.000",
"29 Mar 2018","311.000","859.000",
"22 Feb 2018","275.000","824.000",
"25 Jan 2018","281.000","806.000",
"28 Dec 2017","245.000","883.000",
"30 Nov 2017","250.000","911.000",
"26 Oct 2017","259.000","894.000",
"30 Sep 2017","245.000","857.000",
"31 Aug 2017","217.000","817.000",
"27 Jul 2017","200.000","763.000",
"29 Jun 2017","212.000","765.000",
"25 May 2017","186.000","716.000",
"27 Apr 2017","204.000","757.000",
"30 Mar 2017","224.000","823.000",
"23 Feb 2017","231.000","873.000",
"26 Jan 2017","260.000","887.000",
"29 Dec 2016","260.000","938.000",
"24 Nov 2016","208.000","909.000",
"27 Oct 2016","236.000","981.000",
"29 Sep 2016","249.000","937.000",
"25 Aug 2016","231.000","913.000",
"28 Jul 2016","241.000","901.000",
