"Date","HospitalValue","BoardValue","NationalValue",
"31 May 2021","12.000","12.000","16640.000",
"30 Apr 2021","14.000","14.000","13050.000",
"31 Mar 2021","17.000","17.000","11949.000",
"28 Feb 2021","22.000","22.000","11133.000",
"31 Jan 2021","13.000","13.000","11991.000",
"31 Dec 2020","16.000","16.000","12807.000",
"31 Oct 2020","29.000","29.000","11186.000",
"30 Sep 2020","7.000","7.000","9184.000",
"31 Aug 2020","7.000","7.000","8692.000",
"31 Jul 2020","4.000","4.000","5510.000",
"30 Jun 2020","5.000","5.000","4478.000",
"31 May 2020","9.000","9.000","3814.000",
"30 Apr 2020","3.000","3.000","3351.000",
"31 Mar 2020","21.000","21.000","10886.000",
"29 Feb 2020","33.000","33.000","16602.000",
"31 Jan 2020","26.000","26.000","19283.000",
"31 Dec 2019","15.000","15.000","22871.000",
"30 Nov 2019","10.000","10.000","20541.000",
"31 Oct 2019","15.000","15.000","17923.000",
"30 Sep 2019","8.000","8.000","16187.000",
"31 Aug 2019","14.000","14.000","14372.000",
"31 Jul 2019","30.000","30.000","13252.000",
"30 Jun 2019","17.000","17.000","14278.000",
"31 May 2019","30.000","30.000","14011.000",
"30 Apr 2019","45.000","45.000","14643.000",
"31 Mar 2019","35.000","35.000","12538.000",
"28 Feb 2019","22.000","22.000","13886.000",
"31 Jan 2019","21.000","21.000","15613.000",
"31 Dec 2018","29.000","29.000","14409.000",
"30 Nov 2018","27.000","27.000","11827.000",
"31 Oct 2018","23.000","23.000","10743.000",
"30 Sep 2018","36.000","36.000","12789.000",
"31 Aug 2018","21.000","21.000","11615.000",
"31 Jul 2018","15.000","15.000","10178.000",
"30 Jun 2018","15.000","15.000","10550.000",
"31 May 2018","20.000","20.000","10633.000",
"30 Apr 2018","24.000","24.000","13792.000",
"31 Mar 2018","21.000","21.000","16610.000",
"28 Feb 2018","17.000","17.000","11746.000",
"31 Jan 2018","9.000","9.000","16568.000",
"31 Dec 2017","15.000","15.000","21218.000",
"30 Nov 2017","18.000","18.000","8886.000",
"31 Oct 2017","39.000","39.000","7676.000",
"30 Sep 2017","17.000","17.000","9174.000",
"31 Aug 2017","14.000","14.000","7006.000",
"31 Jul 2017","26.000","26.000","5859.000",
"01 Jun 2017","5.000","5.000","6315.000",
"31 May 2017","20.000","20.000","9091.000",
"30 Apr 2017","24.000","24.000","9011.000",
"01 Mar 2017","12.000","12.000","8603.000",
"01 Feb 2017","26.000","26.000","8863.000",
"01 Jan 2017","9.000","9.000","10484.000",
"01 Dec 2016","11.000","11.000","9667.000",
"01 Nov 2016","5.000","5.000","8320.000",
"01 Oct 2016","8.000","8.000","8309.000",
"01 Sep 2016","6.000","6.000","7262.000",
"01 Aug 2016","12.000","12.000","7499.000",
"01 Jul 2016","11.000","11.000","5754.000",
"01 Jun 2016","12.000","12.000","6001.000",
"01 May 2016","13.000","13.000","8205.000",
"01 Apr 2016","3.000","3.000","6476.000",
"01 Mar 2016","6.000","6.000","10039.000",
"01 Feb 2016","4.000","4.000","9015.000",
"01 Jan 2016","8.000","8.000","10620.000",
"01 Dec 2015","5.000","5.000","6351.000",
"01 Nov 2015","9.000","9.000","6515.000",
"01 Oct 2015","8.000","8.000","7105.000",
"01 Sep 2015","13.000","13.000","6283.000",
"01 Aug 2015","7.000","7.000","6786.000",
"01 Jul 2015","16.000","16.000","5491.000",
"01 Jun 2015","4.000","4.000","7639.000",
"01 May 2015","9.000","9.000","8993.000",
"01 Apr 2015","9.000","9.000","9671.000",
"31 Mar 2015","1.000","1.000","10770.000",
"28 Feb 2015","11.000","11.000","14619.000",
"31 Jan 2015","4.000","4.000","16628.000",
"31 Dec 2014","5.000","5.000","13079.000",
"30 Nov 2014","2.000","2.000","10746.000",
"31 Oct 2014","2.000","2.000","10914.000",
"30 Sep 2014","3.000","3.000","9271.000",
"31 Aug 2014","7.000","7.000","9710.000",
"31 Jul 2014","5.000","5.000","7856.000",
"30 Jun 2014","11.000","11.000","8697.000",
"31 May 2014","9.000","9.000","10649.000",
"30 Apr 2014","5.000","5.000","9653.000",
"31 Mar 2014","5.000","5.000","9438.000",
"28 Feb 2014","5.000","5.000","10007.000",
"31 Jan 2014","10.000","10.000","10031.000",
