"Date","HospitalValue","BoardValue","NationalValue",
"20 Jun 2021","1.000","9.000","582.000",
"13 Jun 2021","0.000","15.000","556.000",
"06 Jun 2021","0.000","14.000","480.000",
"30 May 2021","1.000","9.000","421.000",
"23 May 2021","0.000","3.000","415.000",
"16 May 2021","1.000","12.000","443.000",
"09 May 2021","0.000","0.000","250.000",
"02 May 2021","0.000","4.000","272.000",
"25 Apr 2021","0.000","6.000","246.000",
"18 Apr 2021","0.000","3.000","218.000",
"11 Apr 2021","1.000","4.000","329.000",
"04 Apr 2021","1.000","3.000","339.000",
"28 Mar 2021","1.000","21.000","298.000",
"21 Mar 2021","0.000","15.000","351.000",
"14 Mar 2021","0.000","6.000","272.000",
"07 Mar 2021","0.000","7.000","250.000",
"28 Feb 2021","3.000","14.000","433.000",
"21 Feb 2021","1.000","15.000","467.000",
"14 Feb 2021","4.000","12.000","329.000",
"07 Feb 2021","1.000","2.000","524.000",
"31 Jan 2021","5.000","12.000","360.000",
"24 Jan 2021","1.000","4.000","380.000",
"17 Jan 2021","3.000","11.000","428.000",
"10 Jan 2021","1.000","20.000","622.000",
"03 Jan 2021","2.000","5.000","492.000",
"27 Dec 2020","1.000","3.000","251.000",
"20 Dec 2020","1.000","12.000","710.000",
"13 Dec 2020","3.000","11.000","642.000",
"06 Dec 2020","0.000","4.000","317.000",
"29 Nov 2020","1.000","3.000","232.000",
"22 Nov 2020","1.000","9.000","374.000",
"15 Nov 2020","1.000","2.000","307.000",
"08 Nov 2020","2.000","10.000","455.000",
"01 Nov 2020","1.000","8.000","455.000",
"25 Oct 2020","0.000","4.000","354.000",
"18 Oct 2020","0.000","1.000","174.000",
"11 Oct 2020","0.000","3.000","332.000",
"04 Oct 2020","0.000","2.000","155.000",
"27 Sep 2020","1.000","3.000","182.000",
"20 Sep 2020","0.000","2.000","232.000",
"13 Sep 2020","5.000","9.000","174.000",
"06 Sep 2020","0.000","4.000","127.000",
"30 Aug 2020","0.000","1.000","92.000",
"23 Aug 2020","2.000","8.000","147.000",
"16 Aug 2020","0.000","5.000","156.000",
"09 Aug 2020","0.000","1.000","98.000",
"02 Aug 2020","0.000","1.000","111.000",
"26 Jul 2020","1.000","2.000","63.000",
"19 Jul 2020","5.000","6.000","68.000",
"12 Jul 2020","0.000","0.000","54.000",
"05 Jul 2020","0.000","3.000","32.000",
"28 Jun 2020","0.000","2.000","54.000",
"21 Jun 2020","0.000","1.000","50.000",
"14 Jun 2020","0.000","1.000","53.000",
"07 Jun 2020","0.000","0.000","67.000",
"31 May 2020","0.000","0.000","54.000",
"24 May 2020","0.000","2.000","40.000",
"17 May 2020","1.000","2.000","26.000",
"10 May 2020","0.000","0.000","32.000",
"03 May 2020","0.000","0.000","33.000",
"26 Apr 2020","0.000","1.000","34.000",
"19 Apr 2020","0.000","1.000","22.000",
"12 Apr 2020","0.000","0.000","48.000",
"05 Apr 2020","0.000","2.000","69.000",
"29 Mar 2020","1.000","2.000","62.000",
"22 Mar 2020","1.000","4.000","90.000",
"15 Mar 2020","2.000","6.000","395.000",
"08 Mar 2020","0.000","15.000","816.000",
"01 Mar 2020","0.000","6.000","658.000",
"23 Feb 2020","1.000","13.000","937.000",
"16 Feb 2020","0.000","7.000","610.000",
"09 Feb 2020","2.000","8.000","573.000",
"02 Feb 2020","1.000","14.000","808.000",
"26 Jan 2020","0.000","8.000","503.000",
"19 Jan 2020","0.000","4.000","565.000",
"12 Jan 2020","1.000","38.000","1056.000",
"05 Jan 2020","1.000","2.000","719.000",
"29 Dec 2019","0.000","8.000","368.000",
