"Date","BoardValue","NationalValue",
"29 Apr 2021","158.000","1084.000",
"25 Mar 2021","165.000","1077.000",
"25 Feb 2021","114.000","968.000",
"28 Jan 2021","125.000","976.000",
"31 Dec 2020","148.000","1021.000",
"26 Nov 2020","140.000","1024.000",
"29 Oct 2020","142.000","994.000",
"24 Sep 2020","184.000","1110.000",
"27 Aug 2020","158.000","1067.000",
"30 Jul 2020","132.000","961.000",
"25 Jun 2020","106.000","808.000",
"28 May 2020","91.000","711.000",
"30 Apr 2020","75.000","604.000",
"26 Mar 2020","186.000","1171.000",
"27 Feb 2020","268.000","1627.000",
"30 Jan 2020","291.000","1640.000",
"26 Dec 2019","228.000","1379.000",
"28 Nov 2019","228.000","1485.000",
"31 Oct 2019","242.000","1525.000",
"26 Sep 2019","229.000","1497.000",
"29 Aug 2019","250.000","1469.000",
"27 Jun 2019","251.000","1442.000",
"30 May 2019","286.000","1451.000",
"25 Apr 2019","260.000","1365.000",
"28 Mar 2019","251.000","1364.000",
"28 Feb 2019","323.000","1419.000",
"31 Jan 2019","287.000","1474.000",
"27 Dec 2018","254.000","1236.000",
"29 Nov 2018","294.000","1413.000",
"25 Oct 2018","379.000","1542.000",
"27 Sep 2018","379.000","1529.000",
"30 Aug 2018","367.000","1458.000",
"26 Jul 2018","363.000","1420.000",
"28 Jun 2018","340.000","1436.000",
"31 May 2018","361.000","1390.000",
"26 Apr 2018","370.000","1380.000",
"29 Mar 2018","407.000","1370.000",
"22 Feb 2018","362.000","1297.000",
"25 Jan 2018","379.000","1360.000",
"28 Dec 2017","293.000","1208.000",
"30 Nov 2017","331.000","1434.000",
"26 Oct 2017","341.000","1429.000",
"30 Sep 2017","336.000","1397.000",
"31 Aug 2017","301.000","1370.000",
"27 Jul 2017","285.000","1293.000",
"29 Jun 2017","312.000","1300.000",
"25 May 2017","285.000","1286.000",
"27 Apr 2017","328.000","1377.000",
"30 Mar 2017","280.000","1339.000",
"23 Feb 2017","318.000","1439.000",
"26 Jan 2017","335.000","1482.000",
"29 Dec 2016","319.000","1333.000",
"24 Nov 2016","287.000","1509.000",
"27 Oct 2016","325.000","1576.000",
"29 Sep 2016","335.000","1524.000",
"25 Aug 2016","322.000","1472.000",
"28 Jul 2016","308.000","1396.000",
"15 Jun 2016","262.000","1338.000",
"15 May 2016","227.000","1303.000",
"15 Apr 2016","220.000","1294.000",
"15 Mar 2016","238.000","1347.000",
"15 Feb 2016","251.000","1334.000",
"15 Jan 2016","260.000","1349.000",
"15 Dec 2015","269.000","1432.000",
"15 Nov 2015","275.000","1496.000",
"15 Oct 2015","281.000","1445.000",
