Code,No. people,No. people aged 65+
E09000006,332336,58177
E09000007,270029,32463
E09000008,386710,53197
E09000009,341806,44846
E09000010,333794,44564
E09000011,287942,30359
E09000012,281120,21692
E09000013,185143,20369
E09000014,268647,27993
E09000015,251160,39988
E09000016,259552,46709
E09000017,306870,41395
E09000018,271523,33431
E09000019,242467,21484
E09000020,156129,25049
E09000021,177507,24745
E09000022,326034,27500
E09000023,305842,28988
E09000024,206548,26467
E09000025,353134,27228
E09000026,305222,38852
E09000027,198019,31392
E09000028,318830,27130
E09000029,206349,31622
E09000030,324745,20859
E09000031,276983,29980
E09000032,329677,31626
E09000033,261317,32628
E10000002,543973,102860
E10000003,653537,125275
E10000006,500012,122360
E10000007,802694,174956
E10000008,802375,204201
E10000011,557229,144592
E10000012,1489189,307567
E10000013,637070,137510
E10000014,1382542,300537
E10000015,1189519,204227
E10000016,1581555,319396
E10000017,1219799,253027
E10000018,706155,144892
E10000019,761224,179805
E10000020,907760,222666
E10000021,753278,136682
E10000023,618054,152657
E10000024,828224,173311
E10000025,691667,128126
E10000027,562225,139913
E10000028,879560,192379
E10000029,761350,179393
E10000030,1196236,227896
E10000031,577933,120273
E10000032,863980,198783
E10000034,595786,135906
E11000001,2835686,450787
E11000002,1429910,272739
E11000003,1409020,254646
E11000005,2928592,454233
E11000006,2332469,388543
E11000007,1141469,211083
