provider_code,total_attendances_more_4_hours,perc_4_hours_or_less_type_1,perc_4_hours_or_less_all,num_patients_more_4_hours_from_decision_to_admit_to_admission,num_patients_more_12_hours_from_decision_to_admit_to_admission
RBQ,0,NA,NA,0,0
REM,3992,0.75998075998076,0.8226723525230988,903,0
REP,28,NA,0.9656019656019657,0,0
R0A,5386,0.6805746782400479,0.7610894251242015,1877,0
RW4,0,NA,1,0,0
RBT,1931,0.6622853137048721,0.7116619381812752,426,0
Y02532,0,NA,1,0,0
RTV,0,NA,1,0,0
RW6,6020,0.6896825817391765,0.7344156703577889,1903,199
AC008,1,NA,0.9983333333333333,0,0
RM3,2186,0.683692663869194,0.7027063783489732,816,0
NQT5F,73,NA,0.9082914572864321,0,0
RVY,1376,0.7389984825493171,0.8171428571428572,509,23
RBN,2298,0.7401334388782087,0.8130187144019528,218,0
RWJ,2380,0.6705426356589147,0.6705426356589147,848,10
RMP,1623,0.7554986441699307,0.8042455674828127,295,0
RBV,0,NA,NA,0,0
RET,0,NA,NA,0,0
RTX,1774,0.7229430379746835,0.7680136001046162,455,75
RWW,1838,0.69990160708429,0.7549986670221275,942,0
RY7,0,NA,1,0,0
RBL,2262,0.6703136396790663,0.717849569664463,405,0
RRF,2103,0.7022575606985659,0.7738223273822328,858,102
RTK,2446,0.6890809711452904,0.6890809711452904,584,3
NTV0B,0,NA,1,0,0
NQT10,0,NA,1,0,0
RWX,31,NA,0.9794156706507304,0,0
Y04538,0,NA,NA,0,0
RXH,3155,0.6956268221574344,0.7270525131931828,973,4
Y02676,0,NA,1,0,0
RXQ,1894,0.6647615645651009,0.7933442444080742,643,38
RN7,1758,0.7729799612152554,0.7985100286532951,479,0
Y00751,0,NA,NA,0,0
RVV,4416,0.6600894095884076,0.7107486736097465,1346,186
RXC,2556,0.6712540192926045,0.7314561882748477,280,0
Y02816,0,NA,1,0,0
NDJ,0,NA,1,0,0
RDU,NA,NA,NA,910,0
RN5,1336,0.8349598517603459,0.8387641805454984,834,0
NDA57,1,NA,0.9975308641975309,0,0
Y03051,0,NA,1,0,0
R1F,618,0.7494933117146332,0.8408037094281299,284,1
RYY,3,NA,0.9990272373540856,0,0
RWF,2433,0.7942620176032499,0.8164604707302353,769,5
RPA,2366,0.5526618153963998,0.6641113003975014,322,0
RNU,51,NA,0.976123595505618,0,0
RTH,2162,0.7626262626262627,0.7992571959145776,758,1
AQN04,0,NA,1,0,0
RHU,NA,NA,NA,1197,0
NTP11,0,NA,1,0,0
NTPAD,39,NA,0.989558232931727,0,0
RPC,2,NA,0.9963636363636363,0,0
RHW,1943,0.7648134601316752,0.7995046950779073,432,0
RA2,854,0.8325161796430672,0.8325161796430672,45,0
RW1,1,NA,0.9976470588235294,0,0
RTP,715,0.9040526033279657,0.9101194217473287,308,0
RDR,27,NA,0.9959881129271917,0,0
RHM,743,0.9114790836653387,0.9175177619893428,64,0
RYR,1159,0.8717403469501959,0.8933860730383589,217,10
G82071,0,NA,1,0,0
NTV0W,0,NA,1,0,0
RJ8,0,NA,NA,0,0
RBD,561,0.8415393322014714,0.9021625392396233,24,0
RDY,0,NA,NA,0,0
DD401,0,NA,1,0,0
RTQ,3,NA,0.9993135011441647,0,0
RTE,2883,0.6518174030106474,0.711122244488978,1240,37
RN3,1317,0.6920087442312364,0.8153910849453322,504,1
RVJ,1777,0.7320566948130277,0.7320566948130277,736,52
RBZ,594,0.8180147058823529,0.8180147058823529,191,0
L83087,0,NA,1,0,0
NQT5H,3,NA,0.9928741092636579,0,0
REF,2048,0.5913274698302311,0.8063540090771558,853,65
RH8,1820,0.6948356807511737,0.7550800699771228,402,2
RD1,1608,0.6966483620526416,0.7319553258876479,524,0
RNZ,636,0.817083692838654,0.857813547954393,165,0
NLX,10,NA,0.9979579334286298,0,0
RH5,1008,0.8037623762376238,0.8965198644902987,31,0
RYF,0,NA,1,0,0
AAH,0,NA,1,0,0
RA9,1172,0.7467012762275579,0.8117571474461934,266,1
RA7,3059,0.7063538045577443,0.7434585709493459,1351,247
R0D,NA,NA,NA,849,8
RK9,NA,NA,NA,350,23
AXG,0,NA,1,0,0
RA4,254,0.9323388385721897,0.9323388385721897,23,0
