"Date","HospitalValue","BoardValue","NationalValue",
"20 Jun 2021","779.000","967.000","4889.000",
"13 Jun 2021","640.000","845.000","4491.000",
"06 Jun 2021","645.000","844.000","4622.000",
"30 May 2021","533.000","700.000","3746.000",
"23 May 2021","710.000","882.000","3443.000",
"16 May 2021","606.000","760.000","3922.000",
"09 May 2021","434.000","555.000","3014.000",
"02 May 2021","561.000","677.000","2850.000",
"25 Apr 2021","358.000","542.000","2837.000",
"18 Apr 2021","489.000","606.000","2805.000",
"11 Apr 2021","417.000","543.000","2993.000",
"04 Apr 2021","395.000","513.000","3122.000",
"28 Mar 2021","246.000","361.000","2537.000",
"21 Mar 2021","485.000","600.000","2831.000",
"14 Mar 2021","522.000","623.000","2285.000",
"07 Mar 2021","361.000","455.000","2244.000",
"28 Feb 2021","428.000","518.000","2816.000",
"21 Feb 2021","479.000","656.000","2986.000",
"14 Feb 2021","384.000","464.000","2232.000",
"07 Feb 2021","497.000","605.000","2544.000",
"31 Jan 2021","417.000","524.000","2360.000",
"24 Jan 2021","330.000","412.000","2355.000",
"17 Jan 2021","319.000","392.000","2321.000",
"10 Jan 2021","314.000","407.000","3205.000",
"03 Jan 2021","393.000","492.000","2844.000",
"27 Dec 2020","265.000","345.000","2086.000",
"20 Dec 2020","446.000","562.000","3409.000",
"13 Dec 2020","487.000","667.000","3117.000",
"06 Dec 2020","485.000","604.000","2256.000",
"29 Nov 2020","256.000","357.000","1980.000",
"22 Nov 2020","299.000","404.000","2176.000",
"15 Nov 2020","257.000","382.000","2401.000",
"08 Nov 2020","458.000","582.000","2665.000",
"01 Nov 2020","372.000","490.000","2780.000",
"25 Oct 2020","196.000","289.000","2616.000",
"18 Oct 2020","194.000","333.000","1972.000",
"11 Oct 2020","336.000","477.000","2661.000",
"04 Oct 2020","207.000","324.000","1828.000",
"27 Sep 2020","200.000","319.000","1753.000",
"20 Sep 2020","324.000","442.000","2260.000",
"13 Sep 2020","363.000","489.000","2236.000",
"06 Sep 2020","368.000","449.000","2196.000",
"30 Aug 2020","226.000","327.000","1778.000",
"23 Aug 2020","355.000","436.000","1965.000",
