"Date","HospitalValue","BoardValue","NationalValue",
"31 May 2021","0.194","0.256","0.260",
"30 Apr 2021","0.206","0.262","0.267",
"31 Mar 2021","0.227","0.282","0.295",
"28 Feb 2021","0.240","0.299","0.315",
"31 Jan 2021","0.256","0.301","0.318",
"31 Dec 2020","0.246","0.290","0.298",
"31 Oct 2020","0.257","0.279","0.281",
"30 Sep 2020","0.228","0.265","0.259",
"31 Aug 2020","0.221","0.258","0.254",
"31 Jul 2020","0.191","0.258","0.268",
"30 Jun 2020","0.168","0.256","0.280",
"31 May 2020","0.187","0.273","0.295",
"30 Apr 2020","0.182","0.313","0.321",
"31 Mar 2020","0.257","0.271","0.262",
"29 Feb 2020","0.221","0.252","0.248",
"31 Jan 2020","0.242","0.257","0.253",
"31 Dec 2019","0.248","0.263","0.258",
"30 Nov 2019","0.245","0.260","0.252",
"31 Oct 2019","0.266","0.263","0.247",
"30 Sep 2019","0.223","0.241","0.231",
"31 Aug 2019","0.211","0.241","0.226",
"31 Jul 2019","0.196","0.240","0.228",
"30 Jun 2019","0.197","0.241","0.227",
"31 May 2019","0.217","0.244","0.230",
"30 Apr 2019","0.217","0.244","0.230",
"31 Mar 2019","0.222","0.244","0.237",
"28 Feb 2019","0.211","0.249","0.241",
"31 Jan 2019","0.208","0.256","0.253",
"31 Dec 2018","0.232","0.261","0.254",
"30 Nov 2018","0.234","0.254","0.244",
"31 Oct 2018","0.217","0.248","0.239",
"30 Sep 2018","0.203","0.237","0.226",
"31 Aug 2018","0.214","0.242","0.226",
"31 Jul 2018","0.178","0.230","0.217",
"30 Jun 2018","0.186","0.229","0.214",
"31 May 2018","0.179","0.223","0.214",
"30 Apr 2018","0.184","0.235","0.231",
"31 Mar 2018","0.210","0.244","0.242",
"28 Feb 2018","0.210","0.251","0.246",
"31 Jan 2018","0.213","0.260","0.259",
"31 Dec 2017","0.203","0.260","0.253",
"30 Nov 2017","0.204","0.240","0.243",
"31 Oct 2017","0.192","0.231","0.235",
"30 Sep 2017","0.188","0.228","0.229",
"31 Aug 2017","0.195","0.227","0.223",
"31 Jul 2017","0.158","0.225","0.226",
"01 Jun 2017","0.168","0.222","0.225",
"31 May 2017","0.167","0.212","0.222",
"30 Apr 2017","0.164","0.232","0.231",
"01 Mar 2017","0.172","0.237","0.236",
"01 Feb 2017","0.182","0.250","0.251",
"01 Jan 2017","0.183","0.254","0.256",
"01 Dec 2016","0.193","0.260","0.255",
"01 Nov 2016","0.164","0.247","0.245",
"01 Oct 2016","0.164","0.243","0.239",
"01 Sep 2016","0.172","0.234","0.225",
"01 Aug 2016","0.180","0.235","0.225",
"01 Jul 2016","0.182","0.253","0.231",
"01 Jun 2016","0.152","0.225","0.221",
"01 May 2016","0.161","0.224","0.222",
"01 Apr 2016","0.158","0.243","0.241",
"01 Mar 2016","0.176","0.240","0.238",
"01 Feb 2016","0.184","0.245","0.246",
"01 Jan 2016","0.187","0.255","0.256",
"01 Dec 2015","0.206","0.266","0.263",
"01 Nov 2015","0.217","0.255","0.251",
"01 Oct 2015","0.204","0.248","0.243",
"01 Sep 2015","0.187","0.243","0.232",
"01 Aug 2015","0.191","0.245","0.231",
"01 Jul 2015","0.177","0.252","0.237",
"01 Jun 2015","0.204","0.242","0.231",
"01 May 2015","0.282","0.273","0.242",
"01 Apr 2015","0.261","0.279","0.246",
"31 Mar 2015","0.277","0.281","0.251",
"28 Feb 2015","0.274","0.283","0.259",
"31 Jan 2015","0.279","0.290","0.268",
"31 Dec 2014","0.293","0.300","0.270",
"30 Nov 2014","0.290","0.281","0.252",
"31 Oct 2014","0.280","0.278","0.251",
"30 Sep 2014","0.268","0.260","0.232",
"31 Aug 2014","0.277","0.273","0.236",
"31 Jul 2014","0.274","0.267","0.230",
"30 Jun 2014","0.285","0.266","0.228",
"31 May 2014","0.294","0.271","0.237",
"30 Apr 2014","0.314","0.286","0.243",
"31 Mar 2014","0.302","0.282","0.243",
"28 Feb 2014","0.314","0.292","0.257",
"31 Jan 2014","0.287","0.301","0.269",
