"Date","HospitalValue","BoardValue","NationalValue",
"20 Jun 2021","N/A","1302.000","27886.000",
"13 Jun 2021","N/A","1394.000","28326.000",
"06 Jun 2021","N/A","1355.000","28588.000",
"30 May 2021","N/A","1269.000","26127.000",
"23 May 2021","N/A","1273.000","25724.000",
"16 May 2021","N/A","1343.000","25816.000",
"09 May 2021","N/A","1200.000","23954.000",
"02 May 2021","N/A","1134.000","23828.000",
"25 Apr 2021","N/A","1197.000","24879.000",
"18 Apr 2021","N/A","1167.000","23419.000",
"11 Apr 2021","N/A","1094.000","22025.000",
"04 Apr 2021","N/A","1160.000","22591.000",
"28 Mar 2021","N/A","1051.000","21465.000",
"21 Mar 2021","N/A","1120.000","21626.000",
"14 Mar 2021","N/A","966.000","19104.000",
"07 Mar 2021","N/A","949.000","18827.000",
"28 Feb 2021","N/A","909.000","18786.000",
"21 Feb 2021","N/A","917.000","18296.000",
"14 Feb 2021","N/A","839.000","16873.000",
"07 Feb 2021","N/A","785.000","16152.000",
"31 Jan 2021","N/A","759.000","16337.000",
"24 Jan 2021","N/A","763.000","16312.000",
"17 Jan 2021","N/A","830.000","15689.000",
"10 Jan 2021","N/A","879.000","18417.000",
"03 Jan 2021","N/A","981.000","18817.000",
"27 Dec 2020","N/A","794.000","16442.000",
"20 Dec 2020","N/A","968.000","19327.000",
"13 Dec 2020","N/A","939.000","19064.000",
"06 Dec 2020","N/A","884.000","18673.000",
"29 Nov 2020","N/A","966.000","19630.000",
"22 Nov 2020","N/A","924.000","19710.000",
"15 Nov 2020","N/A","942.000","20333.000",
"08 Nov 2020","N/A","1020.000","20164.000",
"01 Nov 2020","N/A","1028.000","20336.000",
"25 Oct 2020","N/A","1051.000","20565.000",
"18 Oct 2020","N/A","979.000","19904.000",
"11 Oct 2020","N/A","1090.000","22181.000",
"04 Oct 2020","N/A","1067.000","21817.000",
"27 Sep 2020","N/A","1155.000","22247.000",
"20 Sep 2020","N/A","1135.000","23761.000",
"13 Sep 2020","N/A","1156.000","23352.000",
"06 Sep 2020","N/A","1176.000","23682.000",
"30 Aug 2020","N/A","1150.000","23421.000",
"23 Aug 2020","N/A","1223.000","24050.000",
"16 Aug 2020","N/A","1143.000","24009.000",
"09 Aug 2020","N/A","1178.000","22844.000",
"02 Aug 2020","N/A","1093.000","22395.000",
"26 Jul 2020","N/A","1128.000","22549.000",
"19 Jul 2020","N/A","1158.000","22437.000",
"12 Jul 2020","N/A","1050.000","21468.000",
"05 Jul 2020","N/A","982.000","20505.000",
"28 Jun 2020","N/A","1107.000","21677.000",
"21 Jun 2020","N/A","1056.000","21358.000",
"14 Jun 2020","N/A","979.000","19216.000",
"07 Jun 2020","N/A","941.000","20097.000",
"31 May 2020","N/A","1027.000","19741.000",
"24 May 2020","N/A","907.000","17635.000",
"17 May 2020","N/A","808.000","16352.000",
"10 May 2020","N/A","753.000","16801.000",
"03 May 2020","N/A","726.000","16081.000",
"26 Apr 2020","N/A","689.000","15048.000",
"19 Apr 2020","N/A","559.000","12892.000",
"12 Apr 2020","N/A","486.000","11865.000",
"05 Apr 2020","N/A","518.000","11275.000",
"29 Mar 2020","N/A","521.000","11059.000",
"22 Mar 2020","N/A","807.000","16518.000",
"15 Mar 2020","N/A","1184.000","24052.000",
"08 Mar 2020","N/A","1342.000","26103.000",
"01 Mar 2020","N/A","1290.000","26351.000",
"23 Feb 2020","N/A","1303.000","26012.000",
"16 Feb 2020","N/A","1216.000","24592.000",
"09 Feb 2020","N/A","1348.000","26048.000",
"02 Feb 2020","N/A","1252.000","26250.000",
"26 Jan 2020","N/A","1289.000","26183.000",
"19 Jan 2020","N/A","1268.000","25447.000",
"12 Jan 2020","N/A","1218.000","25375.000",
"05 Jan 2020","N/A","1317.000","26453.000",
"29 Dec 2019","N/A","1276.000","25006.000",
"22 Dec 2019","N/A","1377.000","27702.000",
"15 Dec 2019","N/A","1305.000","27330.000",
"08 Dec 2019","N/A","1353.000","27387.000",
"01 Dec 2019","N/A","1299.000","27612.000",
"24 Nov 2019","N/A","1297.000","27356.000",
"17 Nov 2019","N/A","1396.000","27779.000",
"10 Nov 2019","N/A","1379.000","28267.000",
"03 Nov 2019","N/A","1321.000","27386.000",
"27 Oct 2019","N/A","1277.000","27289.000",
